de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2010;-41.79;-45.57;-38.1;0.41;1.2;0.07;99.56
02.01.2010;-42.27;-45.88;-39.52;0.34;1.23;0.07;97.31
03.01.2010;-39.94;-42.03;-37.42;0.52;1.23;0.08;98.94
04.01.2010;-43.15;-45.35;-39.45;0.54;1.48;0.02;99.81
05.01.2010;-43.45;-46.82;-39.45;0.5;1.58;0.05;99.5
06.01.2010;-39.35;-42.2;-35.01;0.63;1.77;0.02;99.25
07.01.2010;-34.3;-37.2;-30.6;0.65;1.75;0.06;99.38
08.01.2010;-29.28;-34.32;-26.21;0.4;1.64;0.35;99.5
09.01.2010;-30.63;-34.13;-27.99;0.3;1.38;0.35;99.38
10.01.2010;-30.77;-31.85;-30.03;0.32;1.8;0.41;99.25
11.01.2010;-33.33;-38.52;-31.22;0.3;2.03;0.09;99.12
12.01.2010;-35.81;-38.92;-30.86;0.57;1.82;0.04;99.5
13.01.2010;-28.06;-31.92;-24.5;0.35;1.8;0.24;99.38
14.01.2010;-21.81;-24.23;-19.18;0.5;1.56;0.34;99.5
15.01.2010;-17.61;-23.59;-12.21;0.78;1.54;0.74;99.31
16.01.2010;-22.33;-27.97;-14.51;0.51;2.31;0.37;99.56
17.01.2010;-27.73;-36.56;-23.52;0.43;2.09;0.27;99.62
18.01.2010;-39.28;-43.44;-35.76;0.54;2.62;0.14;99.56
19.01.2010;-29.96;-34.92;-25.47;1.08;1.7;3.86;99.06
20.01.2010;-21.56;-24.98;-20.05;0.97;1.73;2.69;99.19
21.01.2010;-20.06;-21.0;-18.41;0.93;1.46;0.74;99.25
22.01.2010;-21.1;-22.75;-19.17;1.11;1.08;1.36;98.94
23.01.2010;-25.54;-27.61;-22.98;0.81;2.54;0.34;98.88
24.01.2010;-22.98;-27.73;-19.45;1.16;1.78;4.69;98.75
25.01.2010;-19.52;-24.14;-18.3;0.6;1.66;2.49;99.12
26.01.2010;-37.21;-43.31;-26.61;0.73;3.45;0.52;99.62
27.01.2010;-26.67;-31.35;-22.65;1.45;1.48;5.37;98.75
28.01.2010;-18.45;-22.6;-13.69;1.41;1.62;5.38;98.69
29.01.2010;-33.63;-42.82;-13.46;0.59;3.89;0.22;98.69
30.01.2010;-43.12;-45.63;-37.01;0.52;4.04;0.0;97.69
31.01.2010;-43.43;-47.13;-39.81;0.65;4.14;0.01;89.5
01.02.2010;-41.45;-44.57;-35.16;1.03;3.94;0.0;99.88
02.02.2010;-38.31;-44.12;-32.95;0.33;4.0;0.06;99.44
03.02.2010;-39.92;-44.77;-35.17;0.57;4.44;0.05;97.56
04.02.2010;-37.1;-39.99;-31.81;0.71;4.43;0.12;97.62
05.02.2010;-36.08;-39.92;-31.53;0.54;4.83;0.07;99.62
06.02.2010;-36.06;-38.85;-31.12;0.59;5.02;0.03;99.56
07.02.2010;-33.54;-39.79;-27.6;0.5;4.82;0.13;98.75
08.02.2010;-30.37;-33.29;-26.43;0.41;5.09;0.17;99.44
09.02.2010;-30.51;-34.31;-27.78;0.45;3.93;0.11;99.44
10.02.2010;-31.1;-36.43;-26.0;0.45;3.69;0.03;99.62
11.02.2010;-32.56;-37.52;-27.03;0.45;5.52;0.03;99.0
12.02.2010;-24.52;-30.17;-21.46;0.45;5.06;0.49;99.31
13.02.2010;-21.29;-23.42;-19.31;0.72;3.72;0.42;99.12
14.02.2010;-21.74;-26.17;-17.28;0.67;4.27;0.88;99.25
15.02.2010;-20.81;-25.91;-18.31;0.65;5.23;0.76;99.19
16.02.2010;-15.88;-18.95;-13.2;0.88;3.04;2.16;99.06
17.02.2010;-20.31;-24.99;-13.93;0.41;6.22;0.58;99.25
18.02.2010;-17.39;-21.44;-13.32;0.59;3.5;0.75;99.62
19.02.2010;-10.03;-13.37;-4.81;0.64;3.65;3.03;99.44
20.02.2010;-20.44;-30.5;-11.49;0.84;4.99;0.62;98.81
21.02.2010;-29.02;-37.39;-23.33;0.68;7.86;0.36;99.62
22.02.2010;-21.94;-23.29;-20.56;0.62;5.08;3.66;99.12
23.02.2010;-28.93;-32.99;-23.87;0.56;7.4;0.42;96.62
24.02.2010;-29.56;-35.41;-24.2;0.78;7.86;0.13;96.94
25.02.2010;-30.44;-36.08;-23.92;0.87;8.92;0.05;99.44
26.02.2010;-31.81;-37.27;-24.36;0.52;8.65;0.06;99.75
27.02.2010;-29.81;-36.27;-24.45;0.58;9.34;0.05;97.62
28.02.2010;-24.89;-33.78;-19.95;0.77;8.0;0.14;99.12
01.03.2010;-21.45;-24.02;-19.48;0.47;9.65;0.57;99.19
02.03.2010;-25.67;-32.45;-21.67;0.62;9.92;0.44;99.5
03.03.2010;-28.05;-35.62;-21.1;0.59;9.68;0.29;97.75
04.03.2010;-24.34;-29.29;-18.97;0.53;9.6;0.3;99.06
05.03.2010;-27.27;-31.8;-21.58;0.59;10.72;0.07;99.69
