de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2015;-23.13;-28.79;-15.69;0.45;0.86;3.9;99.62
02.01.2015;-10.77;-16.63;-5.11;0.77;0.73;1.8;99.25
03.01.2015;-15.13;-23.56;-8.6;0.84;1.09;0.95;98.81
04.01.2015;-30.83;-36.3;-24.24;0.61;1.37;0.13;99.19
05.01.2015;-23.06;-34.35;-13.61;0.53;1.08;1.74;99.69
06.01.2015;-12.02;-13.92;-9.52;0.34;1.1;1.89;99.75
07.01.2015;-12.26;-15.3;-9.85;0.45;1.25;0.53;99.81
08.01.2015;-12.2;-15.42;-10.7;0.47;0.93;2.24;99.81
09.01.2015;-15.95;-18.96;-14.05;0.59;1.31;1.93;99.88
10.01.2015;-9.2;-13.59;-5.63;0.69;0.55;1.13;99.5
11.01.2015;-16.17;-20.01;-10.67;0.6;1.06;0.43;99.38
12.01.2015;-21.67;-26.85;-17.31;0.55;1.9;0.18;99.25
13.01.2015;-29.27;-32.16;-27.49;0.46;2.11;0.1;99.62
14.01.2015;-33.73;-37.6;-30.16;0.35;2.0;0.07;99.88
15.01.2015;-23.6;-30.49;-17.52;0.47;1.46;1.06;99.62
16.01.2015;-17.77;-19.86;-16.42;0.43;1.55;2.72;99.75
17.01.2015;-14.54;-19.81;-11.79;0.4;1.75;1.55;99.88
18.01.2015;-13.31;-16.81;-11.64;0.56;1.6;3.64;99.94
19.01.2015;-21.57;-23.93;-17.91;0.41;2.02;0.24;99.69
20.01.2015;-13.56;-19.93;-9.95;0.59;1.7;3.02;99.62
21.01.2015;-10.21;-12.23;-9.16;0.43;1.17;2.78;99.69
22.01.2015;-15.07;-18.74;-12.86;0.37;1.58;1.72;99.81
23.01.2015;-22.47;-24.7;-18.95;0.47;2.42;0.63;99.31
24.01.2015;-29.78;-38.53;-21.9;0.61;2.74;0.34;99.88
25.01.2015;-30.95;-38.47;-27.46;0.94;1.97;1.49;99.12
26.01.2015;-24.55;-28.38;-21.81;0.89;2.08;0.32;99.12
27.01.2015;-26.24;-28.82;-23.01;0.84;2.15;0.68;99.25
28.01.2015;-20.28;-22.38;-19.35;0.82;3.1;0.8;98.88
29.01.2015;-14.98;-19.32;-11.04;0.93;2.42;1.93;99.19
30.01.2015;-10.67;-12.68;-9.67;0.95;2.34;2.25;98.94
31.01.2015;-13.91;-27.31;-10.74;1.04;2.76;0.52;98.62
01.02.2015;-34.28;-37.99;-29.44;0.33;3.54;0.01;99.44
02.02.2015;-25.7;-38.06;-14.9;0.62;2.08;1.06;99.81
03.02.2015;-11.45;-14.42;-9.46;1.0;2.97;5.3;99.12
04.02.2015;-10.73;-14.57;-9.2;1.1;3.26;0.69;98.75
05.02.2015;-24.84;-42.13;-9.81;0.67;4.18;0.13;98.94
06.02.2015;-38.7;-45.89;-30.57;0.51;4.69;0.01;98.06
