de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2015;-7.8;-11.1;-4.63;3.58;2.96;1.55;99.99
02.01.2015;-7.89;-11.2;-4.73;3.53;3.09;1.31;99.99
03.01.2015;-7.85;-11.27;-4.66;3.5;3.15;1.46;99.99
04.01.2015;-7.88;-11.31;-4.73;3.47;3.23;1.47;99.99
05.01.2015;-8.0;-11.43;-4.73;3.44;3.14;1.37;99.99
06.01.2015;-8.19;-11.61;-4.86;3.42;3.19;1.45;99.99
07.01.2015;-8.36;-11.82;-5.01;3.43;3.43;1.27;99.99
08.01.2015;-8.39;-11.81;-5.09;3.51;3.57;1.41;99.99
09.01.2015;-8.54;-11.96;-5.23;3.49;3.72;1.16;99.99
10.01.2015;-8.55;-12.08;-5.2;3.48;3.78;1.29;99.99
11.01.2015;-8.63;-12.18;-5.31;3.47;3.86;1.29;99.99
12.01.2015;-8.8;-12.34;-5.34;3.48;3.77;1.19;99.99
13.01.2015;-9.03;-12.56;-5.5;3.49;3.8;1.26;99.99
14.01.2015;-9.24;-12.81;-5.67;3.52;4.03;1.08;99.99
15.01.2015;-9.3;-12.83;-5.77;3.64;4.16;1.24;99.99
16.01.2015;-9.46;-13.01;-5.93;3.64;4.29;0.99;99.99
17.01.2015;-9.49;-13.15;-5.91;3.66;4.33;1.14;99.99
18.01.2015;-9.58;-13.25;-6.01;3.68;4.39;1.16;99.99
19.01.2015;-9.73;-13.41;-6.03;3.71;4.28;1.09;99.99
20.01.2015;-9.94;-13.62;-6.17;3.74;4.3;1.19;99.99
21.01.2015;-10.12;-13.84;-6.32;3.79;4.52;1.04;99.99
22.01.2015;-10.14;-13.83;-6.39;3.92;4.64;1.23;99.99
23.01.2015;-10.25;-13.96;-6.51;3.94;4.77;1.02;99.99
24.01.2015;-10.21;-14.05;-6.43;3.96;4.81;1.2;99.99
25.01.2015;-10.23;-14.09;-6.48;3.98;4.88;1.24;99.99
26.01.2015;-10.31;-14.18;-6.43;4.01;4.79;1.19;99.99
27.01.2015;-10.43;-14.31;-6.5;4.03;4.82;1.31;99.99
28.01.2015;-10.51;-14.44;-6.58;4.07;5.07;1.19;99.99
29.01.2015;-10.44;-14.34;-6.56;4.18;5.22;1.38;99.99
30.01.2015;-10.45;-14.37;-6.59;4.18;5.38;1.18;99.99
31.01.2015;-10.31;-14.36;-6.43;4.18;5.47;1.36;99.99
01.02.2015;-10.22;-14.29;-6.39;4.17;5.58;1.41;99.99
02.02.2015;-10.19;-14.28;-6.25;4.17;5.53;1.35;99.99
03.02.2015;-10.21;-14.31;-6.23;4.16;5.62;1.46;99.99
04.02.2015;-10.2;-14.33;-6.21;4.17;5.92;1.31;99.99
05.02.2015;-10.02;-14.13;-6.11;4.25;6.12;1.49;99.99
06.02.2015;-9.94;-14.06;-6.05;4.22;6.33;1.26;99.99
07.02.2015;-9.71;-13.95;-5.81;4.18;6.46;1.41;99.99
08.02.2015;-9.54;-13.79;-5.68;4.15;6.61;1.43;99.99
09.02.2015;-9.44;-13.68;-5.47;4.11;6.61;1.34;99.99
10.02.2015;-9.38;-13.62;-5.37;4.07;6.73;1.41;99.99
11.02.2015;-9.3;-13.56;-5.28;4.06;7.05;1.23;99.99
12.02.2015;-9.07;-13.28;-5.11;4.12;7.28;1.38;99.99
13.02.2015;-8.93;-13.14;-4.99;4.06;7.51;1.12;99.99
14.02.2015;-8.65;-12.96;-4.69;4.01;7.66;1.25;99.99
15.02.2015;-8.44;-12.73;-4.51;3.96;7.82;1.24;99.99
16.02.2015;-8.3;-12.56;-4.25;3.92;7.82;1.13;99.99
17.02.2015;-8.21;-12.45;-4.11;3.88;7.95;1.19;99.99
18.02.2015;-8.1;-12.34;-3.98;3.87;8.27;1.01;99.99
19.02.2015;-7.84;-12.02;-3.78;3.92;8.49;1.15;99.99
20.02.2015;-7.68;-11.84;-3.63;3.87;8.72;0.89;99.99
21.02.2015;-7.38;-11.62;-3.29;3.83;8.86;1.03;99.99
22.02.2015;-7.14;-11.37;-3.09;3.79;9.01;1.03;99.99
23.02.2015;-6.98;-11.18;-2.81;3.76;9.01;0.94;99.99
24.02.2015;-6.88;-11.04;-2.66;3.74;9.13;1.03;99.99
25.02.2015;-6.75;-10.92;-2.52;3.74;9.45;0.86;99.99
26.02.2015;-6.48;-10.58;-2.3;3.81;9.67;1.03;99.99
27.02.2015;-6.3;-10.39;-2.15;3.78;9.9;0.81;99.99
28.02.2015;-5.99;-10.17;-1.81;3.76;10.04;0.97;99.99
01.03.2015;-5.75;-9.91;-1.61;3.74;10.21;1.01;99.99
02.03.2015;-5.58;-9.72;-1.33;3.72;10.22;0.95;99.99
03.03.2015;-5.46;-9.59;-1.18;3.71;10.35;1.06;99.99
04.03.2015;-5.33;-9.47;-1.04;3.73;10.69;0.93;99.99
05.03.2015;-5.04;-9.14;-0.83;3.81;10.93;1.12;99.99
06.03.2015;-4.86;-8.96;-0.68;3.79;11.19;0.92;99.99
07.03.2015;-4.54;-8.75;-0.36;3.77;11.35;1.1;99.99
08.03.2015;-4.29;-8.5;-0.16;3.76;11.54;1.15;99.99
09.03.2015;-4.12;-8.32;0.12;3.75;11.57;1.1;99.99
10.03.2015;-4.0;-8.2;0.26;3.73;11.72;1.22;99.99
11.03.2015;-3.86;-8.09;0.4;3.74;12.08;1.08;99.99
12.03.2015;-3.57;-7.77;0.61;3.82;12.33;1.27;99.99
13.03.2015;-3.39;-7.6;0.77;3.79;12.58;1.06;99.99
14.03.2015;-3.06;-7.4;1.11;3.77;12.74;1.23;99.99
15.03.2015;-2.8;-7.15;1.32;3.74;12.92;1.27;99.99
16.03.2015;-2.62;-6.98;1.62;3.71;12.93;1.2;99.99
17.03.2015;-2.49;-6.85;1.79;3.68;13.05;1.29;99.99
18.03.2015;-2.34;-6.74;1.96;3.68;13.36;1.14;99.99
19.03.2015;-2.03;-6.41;2.22;3.74;13.57;1.31;99.99
20.03.2015;-1.83;-6.22;2.42;3.69;13.77;1.07;99.99
21.03.2015;-1.48;-6.0;2.82;3.64;13.87;1.22;99.99
22.03.2015;-1.19;-5.72;3.1;3.59;13.98;1.24;99.99
23.03.2015;-0.97;-5.51;3.47;3.55;13.91;1.15;99.99
24.03.2015;-0.81;-5.35;3.73;3.5;13.95;1.23;99.99
25.03.2015;-0.61;-5.2;3.98;3.48;14.18;1.07;99.99
26.03.2015;-0.26;-4.82;4.32;3.52;14.3;1.23;99.99
27.03.2015;-0.0;-4.58;4.63;3.46;14.41;0.99;99.99
28.03.2015;0.41;-4.3;5.12;3.4;14.43;1.14;99.99
29.03.2015;0.75;-3.97;5.5;3.33;14.46;1.15;99.99
30.03.2015;1.04;-3.69;5.97;3.28;14.31;1.08;99.99
31.03.2015;1.27;-3.47;6.33;3.22;14.28;1.17;99.99
01.04.2015;1.54;-3.25;6.68;3.19;14.45;1.01;99.99
02.04.2015;1.96;-2.81;7.12;3.23;14.52;1.19;99.99
03.04.2015;2.29;-2.51;7.51;3.16;14.59;0.96;99.99
04.04.2015;2.77;-2.17;8.09;3.1;14.58;1.13;99.99
05.04.2015;3.18;-1.78;8.54;3.04;14.59;1.17;99.99
06.04.2015;3.53;-1.46;9.08;2.99;14.44;1.11;99.99
07.04.2015;3.83;-1.19;9.49;2.94;14.42;1.22;99.99
08.04.2015;4.15;-0.93;9.88;2.92;14.62;1.08;99.99
09.04.2015;4.62;-0.46;10.35;2.97;14.72;1.27;99.99
10.04.2015;4.99;-0.13;10.76;2.91;14.84;1.06;99.99
11.04.2015;5.5;0.22;11.33;2.86;14.89;1.24;99.99
12.04.2015;5.93;0.61;11.77;2.81;14.97;1.29;99.99
13.04.2015;6.29;0.93;12.28;2.77;14.91;1.23;99.99
14.04.2015;6.58;1.18;12.64;2.73;14.98;1.35;99.99
15.04.2015;6.89;1.42;12.98;2.73;15.27;1.21;99.99
16.04.2015;7.34;1.86;13.37;2.79;15.47;1.4;99.99
17.04.2015;7.67;2.14;13.69;2.75;15.7;1.18;99.99
18.04.2015;8.13;2.45;14.17;2.72;15.85;1.35;99.99
19.04.2015;8.51;2.78;14.5;2.68;16.04;1.39;99.99
20.04.2015;8.81;3.04;14.9;2.66;16.07;1.32;99.99
21.04.2015;9.03;3.23;15.14;2.64;16.24;1.42;99.99
22.04.2015;9.26;3.4;15.35;2.65;16.62;1.27;99.99
23.04.2015;9.62;3.77;15.62;2.73;16.91;1.44;99.99
24.04.2015;9.86;3.98;15.81;2.7;17.21;1.21;99.99
25.04.2015;10.23;4.22;16.17;2.68;17.42;1.37;99.99
26.04.2015;10.52;4.48;16.38;2.66;17.66;1.39;99.99
27.04.2015;10.72;4.67;16.65;2.65;17.74;1.32;99.99
28.04.2015;10.86;4.8;16.79;2.64;17.94;1.41;99.99
29.04.2015;11.0;4.91;16.9;2.66;18.34;1.25;99.99
30.04.2015;11.28;5.23;17.08;2.75;18.63;1.42;99.99
01.05.2015;11.46;5.4;17.19;2.72;18.92;1.19;99.99
02.05.2015;11.76;5.6;17.49;2.71;19.13;1.35;99.99
03.05.2015;11.99;5.84;17.64;2.69;19.34;1.38;99.99
04.05.2015;12.15;6.01;17.88;2.68;19.39;1.31;99.99
05.05.2015;12.24;6.12;17.99;2.67;19.55;1.41;99.99
06.05.2015;12.35;6.22;18.09;2.68;19.9;1.27;99.99
07.05.2015;12.62;6.54;18.27;2.77;20.14;1.45;99.99
08.05.2015;12.78;6.72;18.39;2.74;20.38;1.24;99.99
09.05.2015;13.08;6.93;18.7;2.72;20.53;1.41;99.99
10.05.2015;13.32;7.18;18.88;2.69;20.69;1.45;99.99
11.05.2015;13.48;7.37;19.15;2.67;20.68;1.4;99.99
12.05.2015;13.59;7.5;19.3;2.65;20.78;1.52;99.99
13.05.2015;13.73;7.62;19.44;2.66;21.08;1.38;99.99
14.05.2015;14.01;7.96;19.65;2.73;21.26;1.58;99.99
15.05.2015;14.19;8.16;19.81;2.7;21.45;1.38;99.99
16.05.2015;14.52;8.38;20.15;2.67;21.55;1.56;99.99
17.05.2015;14.77;8.64;20.36;2.64;21.66;1.6;99.99
18.05.2015;14.95;8.83;20.65;2.62;21.61;1.55;99.99
19.05.2015;15.06;8.96;20.81;2.59;21.67;1.66;99.99
20.05.2015;15.2;9.07;20.95;2.59;21.93;1.52;99.99
21.05.2015;15.47;9.39;21.15;2.67;22.08;1.71;99.99
22.05.2015;15.64;9.55;21.29;2.63;22.23;1.49;99.99
23.05.2015;15.93;9.74;21.59;2.6;22.29;1.66;99.99
24.05.2015;16.15;9.96;21.75;2.57;22.37;1.69;99.99
25.05.2015;16.28;10.1;21.98;2.55;22.27;1.62;99.99
26.05.2015;16.34;10.17;22.06;2.53;22.29;1.72;99.99
27.05.2015;16.41;10.21;22.11;2.54;22.51;1.56;99.99
28.05.2015;16.61;10.46;22.22;2.62;22.62;1.73;99.99
29.05.2015;16.69;10.55;22.26;2.59;22.73;1.5;99.99
30.05.2015;16.9;10.66;22.45;2.58;22.74;1.65;99.99
31.05.2015;17.02;10.79;22.5;2.56;22.76;1.67;99.99
01.06.2015;17.06;10.85;22.61;2.55;22.62;1.59;99.99
02.06.2015;17.02;10.85;22.58;2.54;22.59;1.68;99.99
03.06.2015;16.99;10.81;22.52;2.56;22.75;1.52;99.99
04.06.2015;17.1;10.99;22.52;2.65;22.8;1.7;99.99
05.06.2015;17.1;11.01;22.46;2.63;22.85;1.47;99.99
06.06.2015;17.22;11.06;22.56;2.62;22.81;1.63;99.99
07.06.2015;17.27;11.14;22.53;2.61;22.78;1.66;99.99
08.06.2015;17.24;11.16;22.58;2.6;22.58;1.6;99.99
09.06.2015;17.15;11.12;22.5;2.6;22.5;1.71;99.99
10.06.2015;17.08;11.07;22.4;2.62;22.61;1.57;99.99
11.06.2015;17.16;11.23;22.38;2.71;22.63;1.77;99.99
12.06.2015;17.15;11.26;22.31;2.69;22.64;1.57;99.99
13.06.2015;17.27;11.32;22.43;2.67;22.57;1.75;99.99
14.06.2015;17.34;11.42;22.43;2.65;22.52;1.81;99.99
15.06.2015;17.34;11.47;22.52;2.64;22.31;1.77;99.99
16.06.2015;17.29;11.48;22.5;2.62;22.22;1.9;99.99
17.06.2015;17.28;11.47;22.47;2.62;22.34;1.79;99.99
18.06.2015;17.43;11.7;22.54;2.7;22.37;2.0;99.99
19.06.2015;17.48;11.79;22.57;2.66;22.4;1.81;99.99
