de-date,tavg,tmin,tmax,wind,globrad,precip,relhumid
2015-01-01,-8.27,-10.72,-5.73,3.28,2.53,0.79,96.37
2015-01-02,-8.31,-11.07,-5.72,3.63,2.59,2.19,96.3
2015-01-03,-9.04,-12.37,-5.65,3.54,2.74,2.02,96.49
2015-01-04,-9.99,-13.29,-6.83,2.83,2.57,1.54,97.5
2015-01-05,-11.03,-14.73,-7.83,2.89,2.91,1.2,97.46
2015-01-06,-10.99,-13.68,-8.04,3.6,3.11,2.0,97.11
2015-01-07,-11.03,-14.65,-7.62,3.64,3.24,1.92,96.84
2015-01-08,-9.26,-12.23,-6.64,3.47,2.95,2.09,96.76
2015-01-09,-7.9,-11.63,-4.8,3.65,2.6,2.69,96.5
2015-01-10,-8.01,-10.83,-5.68,3.86,2.96,1.86,96.4
2015-01-11,-7.55,-11.1,-4.87,4.42,2.57,1.18,96.38
2015-01-12,-7.25,-9.96,-4.79,4.23,2.82,0.83,96.22
2015-01-13,-7.24,-10.79,-4.49,4.29,3.11,1.64,95.82
2015-01-14,-7.45,-10.21,-4.69,3.34,2.98,0.69,96.77
2015-01-15,-6.62,-9.8,-3.58,3.46,3.27,1.98,96.62
2015-01-16,-6.37,-10.8,-3.34,3.25,2.88,1.74,96.24
2015-01-17,-10.58,-14.07,-7.27,3.48,3.69,1.88,96.28
2015-01-18,-10.56,-14.32,-6.97,3.32,3.25,1.08,96.95
2015-01-19,-11.41,-14.88,-7.8,3.53,4.02,1.01,96.88
2015-01-20,-11.43,-14.95,-8.58,3.99,4.03,2.0,96.39
2015-01-21,-10.69,-13.98,-7.46,4.22,3.79,1.72,96.65
2015-01-22,-10.48,-13.62,-7.86,4.29,3.49,2.44,96.78
2015-01-23,-10.88,-14.0,-8.07,4.29,4.18,1.56,96.36
2015-01-24,-12.32,-14.89,-9.0,3.48,4.45,1.19,96.66
2015-01-25,-11.8,-16.4,-7.45,3.5,4.5,1.44,96.89
2015-01-26,-12.36,-15.84,-8.2,3.47,4.99,0.64,95.85
2015-01-27,-11.44,-15.3,-7.77,4.69,5.04,1.01,96.15
2015-01-28,-9.87,-13.87,-6.57,4.7,4.33,1.99,96.0
2015-01-29,-9.61,-13.75,-6.7,4.67,4.45,1.89,95.88
2015-01-30,-10.69,-13.91,-7.34,3.96,5.03,1.31,96.3
2015-01-31,-10.19,-14.6,-6.27,3.98,5.14,2.13,95.29
2015-02-01,-10.65,-14.91,-7.06,4.23,4.61,2.5,96.5
2015-02-02,-11.74,-15.69,-7.78,3.64,5.11,1.12,96.34
2015-02-03,-12.46,-16.66,-8.6,3.75,5.56,1.86,96.59
2015-02-04,-11.99,-16.3,-8.23,4.19,5.99,1.34,96.04
2015-02-05,-10.73,-14.54,-6.8,3.9,6.39,1.4,97.08
2015-02-06,-10.31,-14.24,-6.58,4.45,6.29,1.01,96.68
2015-02-07,-10.14,-14.28,-6.46,3.77,5.81,1.47,96.69
2015-02-08,-8.82,-12.59,-5.17,4.43,5.87,1.04,96.73
2015-02-09,-8.36,-11.69,-5.29,4.69,5.02,2.05,96.35
2015-02-10,-8.57,-12.94,-5.44,4.12,5.04,1.44,96.3
2015-02-11,-10.28,-14.7,-6.75,3.49,5.75,1.61,95.74
2015-02-12,-10.55,-13.88,-6.77,3.78,6.04,1.27,96.45
2015-02-13,-8.77,-11.99,-5.96,4.93,6.72,1.72,96.21
2015-02-14,-6.85,-10.72,-3.46,4.8,5.78,3.33,96.41
2015-02-15,-6.85,-11.57,-3.53,3.94,5.63,2.21,96.08
2015-02-16,-8.68,-12.37,-5.48,4.32,6.1,1.2,95.42
2015-02-17,-9.76,-13.88,-6.0,3.68,8.01,1.11,94.81
2015-02-18,-9.28,-14.31,-5.12,3.64,8.72,1.05,95.53
2015-02-19,-8.27,-11.98,-4.47,3.62,8.08,1.28,96.67
2015-02-20,-9.16,-13.47,-5.5,4.1,8.92,1.27,95.42
2015-02-21,-8.42,-13.33,-4.41,3.64,8.61,1.16,95.49
2015-02-22,-8.17,-11.6,-4.92,4.0,8.44,1.73,95.86
2015-02-23,-9.05,-13.37,-5.16,4.18,9.08,1.3,95.27
2015-02-24,-8.34,-12.34,-4.59,3.46,9.8,0.62,95.76
2015-02-25,-8.14,-11.82,-4.02,2.74,9.4,1.31,95.07
2015-02-26,-8.22,-12.58,-3.66,3.03,9.73,0.68,95.41
2015-02-27,-6.78,-11.16,-2.29,4.03,9.48,1.55,95.4
2015-02-28,-5.76,-9.71,-2.28,4.12,9.95,1.9,95.9
2015-03-01,-1.81,-4.43,0.68,5.02,7.71,1.05,92.65
2015-03-02,-5.97,-9.17,-2.92,3.91,9.2,1.76,94.88
2015-03-03,-5.15,-9.42,-1.67,4.24,8.73,2.15,94.35
2015-03-04,-5.95,-10.16,-1.9,3.46,8.79,1.35,94.47
2015-03-05,-5.34,-9.52,-1.36,3.14,9.08,1.92,94.16
2015-03-06,-5.22,-9.22,-1.89,3.79,9.94,1.17,93.76
2015-03-07,-5.39,-9.04,-2.03,4.07,11.02,0.97,94.12
2015-03-08,-4.65,-7.91,-1.27,4.63,11.34,1.27,93.42
2015-03-09,-5.75,-10.82,-1.1,3.89,13.16,0.58,90.72
2015-03-10,-6.27,-10.92,-1.13,2.89,12.97,0.66,91.52
2015-03-11,-4.85,-9.08,0.07,3.57,12.3,0.36,92.1
2015-03-12,-4.01,-7.56,-0.0,3.96,11.39,1.08,92.18
2015-03-13,-2.24,-6.29,1.59,4.01,10.85,1.18,93.48
2015-03-14,-0.66,-4.34,2.96,3.43,11.63,1.53,91.73
2015-03-15,-0.82,-4.46,2.53,3.93,12.02,1.39,92.55
2015-03-16,-1.25,-4.69,1.85,4.24,10.4,1.17,92.42
2015-03-17,-2.83,-7.31,1.2,3.88,12.63,1.13,89.85
2015-03-18,-3.42,-8.01,0.88,3.12,11.06,1.92,91.94
2015-03-19,-2.09,-5.63,1.38,2.71,12.68,1.85,90.72
2015-03-20,-2.21,-6.74,1.62,3.7,11.52,1.95,91.53
2015-03-21,-1.47,-5.25,1.36,4.42,11.8,2.66,91.49
2015-03-22,-1.52,-5.28,1.77,3.97,12.38,1.33,89.02
2015-03-23,-1.27,-5.46,2.49,4.11,13.98,1.15,87.79
2015-03-24,-1.02,-5.47,3.38,3.58,14.16,3.51,87.89
2015-03-25,-0.94,-5.79,3.37,4.04,14.0,1.36,88.35
2015-03-26,-0.41,-5.62,3.94,4.22,14.58,1.81,88.0
2015-03-27,-0.47,-4.73,3.33,3.71,12.53,2.13,88.72
2015-03-28,-2.47,-7.67,2.68,3.07,15.76,0.24,85.18
2015-03-29,-1.92,-7.97,3.51,2.74,15.96,0.38,85.91
2015-03-30,-0.68,-6.1,4.22,3.02,15.2,0.63,86.84
2015-03-31,0.89,-3.3,5.25,2.99,15.81,1.04,85.75
2015-04-01,1.22,-3.15,5.53,3.12,14.42,1.77,85.32
2015-04-02,1.5,-2.74,5.55,3.15,12.48,1.83,84.9
2015-04-03,1.12,-3.3,5.42,3.43,13.4,0.52,81.98
2015-04-04,1.22,-3.59,6.22,3.66,16.33,0.16,81.32
2015-04-05,2.4,-1.93,7.29,3.13,13.16,0.72,84.01
2015-04-06,3.48,-1.2,9.32,2.72,16.53,0.46,81.41
2015-04-07,3.82,-1.01,9.43,3.01,12.45,1.73,83.59
2015-04-08,3.94,-0.51,9.13,3.3,11.52,1.5,85.09
2015-04-09,4.73,0.35,9.72,3.19,10.23,4.13,86.67
2015-04-10,4.57,0.08,9.75,2.96,13.88,2.83,82.34
2015-04-11,4.9,-0.32,10.75,3.07,15.52,0.93,78.08
2015-04-12,5.2,-0.04,11.06,2.41,14.72,1.03,79.71
2015-04-13,5.93,0.36,11.49,2.16,14.45,1.83,78.4
2015-04-14,6.64,1.3,12.59,2.76,15.43,2.24,79.26
2015-04-15,6.44,0.94,11.92,3.16,12.77,1.13,80.81
2015-04-16,7.26,1.58,12.8,2.87,15.9,0.56,78.32
2015-04-17,7.25,1.79,12.98,2.88,14.62,1.39,79.7
2015-04-18,7.04,2.35,12.14,2.52,15.13,2.68,80.77
2015-04-19,8.55,2.48,14.66,2.94,16.86,0.68,77.67
2015-04-20,9.07,3.3,14.6,3.01,17.42,1.32,77.76
