de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2017;-14.38;-14.63;-9.9;2.87;5.42;1.29;95.21
02.01.2017;-9.53;-13.59;-7.52;2.72;4.06;1.42;94.88
03.01.2017;-4.38;-7.6;-4.34;2.54;3.55;1.75;94.14
04.01.2017;-5.62;-7.88;-3.56;3.96;4.3;1.38;93.81
05.01.2017;-9.73;-10.58;-8.14;3.46;4.17;1.74;93.72
06.01.2017;-6.19;-7.8;-4.49;2.7;3.35;1.59;94.83
07.01.2017;-5.76;-9.93;-4.66;2.51;3.84;1.84;95.39
08.01.2017;-4.11;-10.43;-2.96;2.98;4.38;2.15;93.45
09.01.2017;-6.37;-10.29;-5.94;2.99;4.17;1.59;93.2
10.01.2017;-8.05;-12.54;-4.98;3.69;4.16;1.37;93.43
11.01.2017;-13.36;-15.6;-10.91;2.61;4.87;1.38;95.23
12.01.2017;-14.0;-16.09;-11.55;2.46;5.8;1.37;95.61
13.01.2017;-7.7;-11.5;-6.7;3.18;4.73;1.78;94.06
14.01.2017;-7.6;-13.51;-4.75;2.32;4.23;1.38;95.34
15.01.2017;-14.4;-16.93;-9.99;2.75;4.85;1.29;94.47
16.01.2017;-8.15;-11.81;-9.11;3.63;4.32;1.38;91.99
17.01.2017;-13.33;-17.11;-7.93;3.12;5.33;1.44;94.88
18.01.2017;-1.7;-8.71;-0.24;3.13;4.59;2.83;94.85
19.01.2017;-4.94;-7.61;-3.75;3.6;4.63;3.2;93.12
20.01.2017;-5.24;-15.63;0.12;2.84;3.5;1.7;95.16
21.01.2017;-7.05;-12.7;-9.78;2.68;3.55;1.75;94.3
22.01.2017;-1.25;-7.16;0.7;3.08;3.81;1.94;95.26
23.01.2017;-12.53;-16.29;-7.35;3.16;4.09;1.37;91.7
24.01.2017;-14.06;-18.59;-14.32;2.97;4.91;1.41;94.13
25.01.2017;-11.25;-15.72;-7.04;2.81;6.29;1.38;95.57
26.01.2017;-13.07;-14.68;-9.32;2.67;5.61;1.3;93.29
27.01.2017;-11.7;-17.31;-9.42;2.75;5.57;1.34;95.4
28.01.2017;-18.75;-19.14;-12.77;2.61;6.75;1.31;95.53
29.01.2017;-7.72;-19.25;-6.86;3.87;5.54;1.5;94.16
30.01.2017;-7.03;-9.6;-5.03;3.31;5.68;1.82;93.33
31.01.2017;-7.88;-11.75;-4.51;2.29;4.28;1.58;95.05
01.02.2017;-6.27;-11.21;-4.96;2.9;5.27;1.98;93.66
02.02.2017;-2.22;-9.68;-2.21;4.0;4.86;1.71;94.38
03.02.2017;-8.04;-9.44;-2.48;2.92;4.6;1.7;93.17
04.02.2017;-7.34;-8.22;-6.96;2.91;5.07;1.54;95.83
05.02.2017;-1.29;-7.38;-1.05;4.85;5.73;3.72;93.6
06.02.2017;-6.72;-10.51;-2.22;3.99;4.55;3.48;92.79
07.02.2017;-8.18;-9.42;-5.3;3.57;4.48;1.28;93.66
08.02.2017;-7.59;-9.85;-4.99;3.9;7.23;1.2;93.7
09.02.2017;-5.26;-6.56;-3.34;4.25;6.37;1.52;93.11
10.02.2017;-1.19;-8.01;-0.6;4.62;5.4;2.2;93.71
11.02.2017;-5.79;-7.23;-2.27;4.47;4.69;1.49;93.2
12.02.2017;0.5;-7.22;-0.24;3.26;5.35;1.9;94.7
13.02.2017;-4.65;-9.06;-0.91;3.36;4.38;1.49;93.91
14.02.2017;-4.06;-9.5;-3.76;2.79;3.79;1.26;92.07
15.02.2017;-4.87;-10.38;-1.2;2.53;6.05;1.38;93.35
16.02.2017;-8.17;-11.8;-4.61;2.72;5.04;1.47;93.71
17.02.2017;-4.75;-10.03;-2.24;3.18;5.65;1.49;94.83
18.02.2017;-7.18;-8.91;-3.63;3.71;7.0;1.35;93.08
19.02.2017;-7.0;-10.06;-5.06;3.05;7.44;1.33;93.6
20.02.2017;-10.22;-13.39;-6.62;2.9;8.33;1.39;93.12
21.02.2017;-9.03;-12.45;-4.64;2.83;8.47;1.37;93.02
22.02.2017;-3.87;-10.34;-0.83;2.22;6.47;1.34;90.68
23.02.2017;-4.81;-9.14;-1.5;1.94;7.21;1.46;93.2
24.02.2017;-5.45;-9.66;-1.35;2.45;6.93;1.38;93.07
25.02.2017;-9.37;-13.43;-4.86;2.57;8.59;1.29;92.04
26.02.2017;-5.66;-12.49;-0.73;1.96;9.84;1.3;92.2
27.02.2017;-7.68;-12.56;-0.74;2.04;8.57;1.32;89.06
28.02.2017;-6.54;-12.34;-1.3;2.72;9.38;1.22;94.07
01.03.2017;-3.42;-10.96;-0.29;3.74;9.3;1.25;93.03
02.03.2017;-2.42;-5.94;0.05;3.98;9.36;1.39;92.66
03.03.2017;-3.74;-4.79;-0.88;4.55;7.42;1.46;91.51
04.03.2017;-4.14;-11.47;-0.92;3.28;9.37;1.6;91.44
05.03.2017;-5.89;-10.37;-0.61;3.11;9.58;2.08;91.23
06.03.2017;-2.03;-7.56;0.3;3.61;8.09;2.23;92.51
07.03.2017;-11.64;-14.79;-6.26;2.99;12.15;1.32;91.28
08.03.2017;-3.32;-9.48;2.0;3.69;10.79;1.28;92.0
09.03.2017;-0.42;-3.24;1.25;4.31;8.4;1.36;92.85
10.03.2017;-13.19;-15.75;-4.87;2.84;12.84;1.3;87.98
11.03.2017;-6.96;-12.44;-1.25;3.24;10.94;1.34;91.84
12.03.2017;-1.98;-5.09;1.35;3.13;9.92;1.44;93.4
13.03.2017;-9.64;-10.04;-6.55;4.54;11.07;2.2;93.01
14.03.2017;-5.34;-10.71;0.32;3.01;10.92;1.42;92.15
15.03.2017;-4.77;-9.57;1.13;2.01;11.66;1.27;91.68
16.03.2017;-4.59;-6.31;-0.19;3.59;10.0;1.57;94.37
17.03.2017;3.11;-0.34;3.02;4.84;9.65;3.22;94.17
18.03.2017;-9.43;-10.64;-0.95;3.55;10.96;1.37;89.19
19.03.2017;-3.9;-8.33;0.46;2.5;8.17;1.15;91.37
20.03.2017;-5.71;-7.58;-2.02;2.89;12.35;1.47;91.54
21.03.2017;-11.05;-11.3;-1.77;2.82;16.12;1.33;87.44
22.03.2017;0.66;-7.07;2.18;3.9;10.03;3.73;93.21
23.03.2017;-7.67;-6.24;-1.19;3.45;12.1;1.58;91.93
24.03.2017;-5.98;-8.65;-0.42;3.63;13.61;3.06;91.7
25.03.2017;-0.88;-4.1;0.76;5.19;12.96;10.24;95.07
26.03.2017;-8.47;-7.57;-1.61;3.92;6.9;4.53;91.75
27.03.2017;-5.46;-9.23;-2.44;3.8;11.95;1.31;91.6
28.03.2017;-5.09;-9.45;0.72;3.14;16.03;1.37;92.03
29.03.2017;-9.72;-12.79;0.68;2.61;14.16;1.28;87.96
30.03.2017;-11.52;-12.08;-3.09;2.78;14.99;1.32;90.51
31.03.2017;-0.67;-8.22;5.17;2.52;17.86;1.31;90.82
01.04.2017;-4.62;-6.41;0.29;3.96;12.67;2.5;91.15
02.04.2017;-0.23;-1.62;2.14;2.92;11.89;2.29;95.12
03.04.2017;-0.87;-1.04;2.88;3.56;10.45;2.06;92.3
04.04.2017;-1.48;-3.37;3.06;2.2;9.41;1.58;93.44
05.04.2017;-3.45;-4.54;1.64;3.8;15.83;1.61;93.39
06.04.2017;-1.87;-1.99;2.98;3.48;11.17;1.34;93.88
07.04.2017;0.19;0.18;5.97;2.67;11.12;1.92;93.34
08.04.2017;0.17;-1.78;7.13;2.42;10.41;3.22;92.62
09.04.2017;-2.86;-2.68;2.32;3.45;9.32;1.38;89.42
10.04.2017;-2.1;-2.4;5.28;2.82;12.42;1.16;84.32
11.04.2017;-0.07;-2.43;7.43;2.56;18.79;1.34;81.91
12.04.2017;1.23;-0.66;7.31;3.45;16.94;1.36;79.78
13.04.2017;0.93;-0.66;6.25;2.64;13.78;1.32;85.75
14.04.2017;5.31;-1.39;10.35;2.09;11.08;1.24;78.69
15.04.2017;2.66;1.16;8.71;2.39;13.01;1.32;78.32
16.04.2017;4.07;0.7;11.83;3.17;13.77;1.25;87.56
17.04.2017;4.89;-0.21;12.5;3.12;16.03;0.97;81.9
18.04.2017;4.52;1.0;12.03;2.4;15.82;1.31;76.78
19.04.2017;6.63;4.39;14.78;2.3;14.65;1.39;76.13
20.04.2017;5.73;1.4;13.3;2.5;16.45;1.28;76.49
21.04.2017;7.36;4.0;16.53;2.56;17.43;1.31;70.26
22.04.2017;8.34;4.85;16.86;2.35;20.69;1.3;75.27
23.04.2017;2.11;-0.1;7.08;4.0;11.99;2.27;83.71
24.04.2017;2.0;1.66;7.22;3.44;14.62;1.37;82.64
25.04.2017;7.26;0.53;14.52;2.48;19.47;1.18;71.48
26.04.2017;7.03;0.35;15.43;3.79;11.88;1.32;76.77
27.04.2017;5.65;2.57;10.5;4.04;10.74;1.41;84.74
28.04.2017;5.89;3.26;15.05;3.23;25.8;1.31;74.55
29.04.2017;14.15;4.51;22.82;4.17;16.26;1.32;74.97
30.04.2017;12.59;12.05;15.05;3.0;13.4;5.41;88.76
01.05.2017;5.5;3.62;14.69;2.84;16.12;1.57;70.17
02.05.2017;14.63;3.4;22.66;3.46;14.5;2.99;79.03
03.05.2017;8.09;7.13;13.77;2.75;14.49;4.44;87.08
04.05.2017;5.49;3.74;14.22;2.97;20.29;1.32;76.07
05.05.2017;12.82;4.04;19.76;2.28;21.4;1.02;75.51
06.05.2017;13.65;10.11;21.37;2.97;18.28;1.57;80.09
07.05.2017;12.07;9.04;19.44;3.16;15.02;1.46;78.32
08.05.2017;9.23;4.01;15.06;3.61;20.35;1.29;77.02
09.05.2017;9.47;4.22;16.67;2.32;22.31;1.29;73.01
10.05.2017;17.37;9.85;24.65;2.29;21.35;1.3;67.46
11.05.2017;14.56;9.14;20.67;2.12;19.81;1.49;74.63
12.05.2017;13.23;8.92;22.07;2.62;20.02;1.26;69.13
13.05.2017;20.35;11.77;27.38;2.35;19.9;1.4;72.93
14.05.2017;14.56;11.88;20.48;2.1;19.48;1.42;68.37
15.05.2017;14.81;8.93;25.18;2.69;25.41;1.26;67.89
16.05.2017;16.07;9.75;22.49;2.97;16.41;1.57;80.36
17.05.2017;18.49;12.54;25.29;2.31;20.02;1.45;76.62
18.05.2017;17.48;12.94;25.25;2.67;22.64;1.39;72.59
19.05.2017;16.67;12.72;23.51;2.69;20.74;1.31;70.54
20.05.2017;15.92;10.82;23.01;2.63;22.3;1.35;79.4
