de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2000;-8.74;-10.44;-5.97;1.41;3.55;0.51;98.06
02.01.2000;-8.92;-12.29;-6.56;3.52;4.14;2.47;99.19
03.01.2000;-14.6;-17.18;-11.2;1.44;4.59;0.41;99.88
04.01.2000;-12.8;-16.44;-8.52;3.33;4.6;0.11;98.88
05.01.2000;-8.49;-12.6;-5.84;3.98;3.61;0.73;98.62
06.01.2000;-8.92;-11.54;-5.52;1.64;3.93;0.11;99.19
07.01.2000;-11.94;-14.95;-7.85;2.39;4.73;0.17;99.06
08.01.2000;-9.15;-12.81;-5.06;3.42;4.74;0.08;98.62
09.01.2000;-6.33;-10.19;-3.63;2.71;4.49;0.11;97.38
10.01.2000;-4.42;-8.14;-1.81;2.61;5.0;0.17;97.19
11.01.2000;-9.33;-12.4;-5.14;2.22;4.89;0.1;98.19
12.01.2000;-10.77;-14.5;-5.13;2.19;5.1;0.11;98.75
13.01.2000;-10.63;-13.31;-6.0;2.92;5.39;0.01;97.75
14.01.2000;-11.43;-14.49;-8.24;4.09;4.9;0.08;98.62
15.01.2000;-10.24;-13.32;-7.52;2.46;3.69;0.27;97.5
16.01.2000;-10.05;-14.7;-5.99;1.05;5.21;1.72;97.88
17.01.2000;-9.69;-14.76;-6.44;5.84;5.14;0.71;95.88
18.01.2000;-5.58;-7.96;-3.55;4.43;3.86;1.42;97.44
19.01.2000;-7.27;-10.83;-4.39;1.95;5.62;0.62;97.44
20.01.2000;-12.0;-14.85;-9.86;4.83;5.6;0.44;96.75
21.01.2000;-12.41;-16.42;-10.12;4.41;3.28;2.74;98.31
22.01.2000;-17.63;-20.16;-14.88;2.76;4.29;0.14;97.25
23.01.2000;-15.86;-18.13;-13.51;3.63;6.07;0.31;98.31
24.01.2000;-16.05;-18.91;-13.14;2.63;4.08;1.09;98.94
25.01.2000;-16.63;-20.56;-14.64;5.8;6.23;2.5;96.81
26.01.2000;-22.53;-27.69;-17.92;2.8;3.84;0.09;98.25
27.01.2000;-21.22;-31.89;-12.0;5.02;3.93;3.41;97.88
28.01.2000;-5.7;-11.69;-1.66;4.45;4.93;1.69;97.5
29.01.2000;-3.06;-5.35;-0.24;4.41;6.07;0.11;96.62
30.01.2000;-3.52;-6.93;-0.28;6.87;5.83;1.76;97.0
31.01.2000;-1.84;-3.55;-0.35;4.96;6.87;2.55;96.88
01.02.2000;-7.28;-14.86;-2.32;4.14;7.47;1.89;96.06
02.02.2000;-4.83;-11.42;0.34;6.16;6.25;2.77;96.12
03.02.2000;-0.42;-2.45;0.47;5.87;5.29;1.87;96.19
04.02.2000;-6.72;-10.31;-1.94;4.62;7.56;0.76;94.0
05.02.2000;-5.72;-8.65;-2.7;7.67;5.97;5.48;95.81
06.02.2000;-6.32;-12.07;-3.18;3.96;8.08;0.12;95.25
07.02.2000;-5.59;-10.59;-0.18;2.91;7.88;0.42;98.5
08.02.2000;-1.64;-4.63;0.15;4.51;6.43;1.41;97.25
09.02.2000;-0.06;-0.7;0.55;4.66;7.14;3.47;96.81
10.02.2000;-1.43;-4.69;0.37;4.78;7.39;0.35;97.25
11.02.2000;-1.72;-3.47;0.23;3.93;9.05;0.2;95.31
12.02.2000;-2.83;-5.24;0.19;4.0;8.82;0.08;95.94
13.02.2000;-3.33;-5.53;-0.06;2.27;9.52;0.14;95.88
14.02.2000;-4.74;-10.37;-0.89;4.0;7.76;0.17;94.75
15.02.2000;-3.15;-5.4;-0.01;3.48;9.94;0.54;95.56
16.02.2000;-4.89;-7.6;-1.45;2.94;9.48;0.12;95.25
17.02.2000;-6.48;-9.14;-2.21;4.67;9.99;0.03;96.38
18.02.2000;-3.5;-9.46;0.55;6.51;2.4;0.93;97.25
19.02.2000;-0.53;-3.06;0.45;6.26;9.75;0.66;96.94
20.02.2000;-0.27;-2.31;0.5;5.77;8.01;3.32;96.75
21.02.2000;-3.3;-5.79;0.18;4.23;10.37;0.52;96.0
22.02.2000;-4.53;-7.66;-2.46;4.95;6.67;9.0;98.06
23.02.2000;-8.94;-11.7;-5.83;4.2;10.65;0.62;94.69
24.02.2000;-10.27;-12.07;-8.47;6.05;10.64;0.6;94.69
25.02.2000;-10.21;-14.63;-6.38;3.49;10.83;0.96;96.38
26.02.2000;-8.39;-12.7;-3.95;1.02;11.27;0.92;95.12
27.02.2000;-14.86;-21.94;-8.32;2.62;7.8;0.66;97.44
28.02.2000;-12.23;-22.6;-5.2;5.49;11.6;0.03;96.25
29.02.2000;-3.32;-7.26;0.44;7.3;12.98;0.04;93.88
01.03.2000;-1.91;-3.49;0.16;4.38;12.04;0.03;95.44
02.03.2000;-2.92;-6.38;0.07;5.02;11.85;0.0;95.0
03.03.2000;-2.42;-4.68;0.14;4.36;12.49;0.11;96.12
04.03.2000;0.08;-1.89;0.42;4.65;9.32;1.9;97.31
05.03.2000;-1.05;-6.45;0.39;3.53;9.8;4.71;95.81
06.03.2000;-7.63;-11.77;-0.96;2.47;14.35;0.07;97.56
07.03.2000;-5.21;-11.66;-1.36;5.8;11.26;4.1;95.69
08.03.2000;-0.81;-3.01;0.3;3.96;7.91;2.87;96.94
09.03.2000;-1.43;-5.31;0.58;5.22;7.04;6.08;96.81
10.03.2000;-3.45;-9.41;0.52;5.12;10.07;1.02;89.56
11.03.2000;-6.06;-9.65;-2.61;3.63;14.18;0.32;94.62
12.03.2000;-6.74;-11.55;-1.24;1.63;11.29;0.27;85.31
13.03.2000;-8.67;-14.35;-4.21;2.48;13.68;0.16;92.62
14.03.2000;-5.35;-11.25;-0.35;2.89;16.48;0.16;93.94
15.03.2000;-1.99;-3.95;0.04;5.89;13.45;1.15;92.44
16.03.2000;-1.64;-3.98;0.24;5.12;10.44;7.11;96.25
17.03.2000;-2.94;-5.64;0.03;2.22;15.4;0.86;96.31
18.03.2000;-2.99;-6.61;-0.87;4.37;13.12;7.58;97.0
19.03.2000;-1.53;-4.35;0.26;5.46;10.68;4.45;95.88
20.03.2000;-4.23;-8.18;-0.01;2.95;18.24;0.05;95.75
21.03.2000;-2.68;-5.21;-0.0;3.82;15.6;2.57;96.56
22.03.2000;-2.25;-5.4;0.27;3.95;6.58;0.2;95.12
