de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2015;-8.14;-11.43;-5.21;3.64;2.98;1.31;92.7
02.01.2015;-8.33;-11.61;-5.38;3.63;3.02;1.09;92.79
03.01.2015;-8.34;-11.73;-5.34;3.63;3.02;1.27;93.17
04.01.2015;-8.42;-11.84;-5.46;3.62;3.06;1.29;92.98
05.01.2015;-8.58;-12.03;-5.57;3.62;2.99;1.2;93.28
06.01.2015;-8.83;-12.19;-5.72;3.59;2.99;1.22;93.34
07.01.2015;-8.96;-12.44;-5.86;3.62;3.19;1.07;93.16
08.01.2015;-9.04;-12.47;-5.95;3.69;3.38;1.29;93.15
09.01.2015;-9.22;-12.63;-6.09;3.69;3.43;1.06;93.19
10.01.2015;-9.21;-12.73;-6.02;3.69;3.44;1.25;93.52
11.01.2015;-9.27;-12.82;-6.11;3.69;3.49;1.26;93.29
12.01.2015;-9.4;-12.98;-6.2;3.68;3.43;1.16;93.54
13.01.2015;-9.63;-13.12;-6.32;3.66;3.44;1.18;93.55
14.01.2015;-9.73;-13.34;-6.42;3.69;3.65;1.03;93.31
15.01.2015;-9.79;-13.35;-6.48;3.77;3.84;1.24;93.26
16.01.2015;-9.94;-13.48;-6.59;3.76;3.91;1.01;93.25
17.01.2015;-9.9;-13.55;-6.48;3.77;3.93;1.19;93.53
18.01.2015;-9.92;-13.6;-6.53;3.76;3.98;1.2;93.26
19.01.2015;-10.02;-13.73;-6.58;3.76;3.93;1.1;93.45
20.01.2015;-10.21;-13.83;-6.66;3.74;3.96;1.12;93.42
21.01.2015;-10.27;-14.01;-6.72;3.77;4.18;0.96;93.15
22.01.2015;-10.28;-13.98;-6.73;3.85;4.39;1.17;93.05
23.01.2015;-10.39;-14.06;-6.79;3.85;4.47;0.94;93.01
24.01.2015;-10.3;-14.09;-6.64;3.85;4.51;1.12;93.26
25.01.2015;-10.27;-14.09;-6.64;3.85;4.58;1.13;92.95
26.01.2015;-10.32;-14.16;-6.64;3.85;4.55;1.03;93.12
27.01.2015;-10.46;-14.22;-6.67;3.83;4.6;1.05;93.07
28.01.2015;-10.46;-14.34;-6.68;3.86;4.85;0.89;92.77
29.01.2015;-10.42;-14.25;-6.64;3.93;5.08;1.1;92.66
30.01.2015;-10.47;-14.27;-6.65;3.93;5.19;0.88;92.6
31.01.2015;-10.32;-14.24;-6.45;3.93;5.25;1.05;92.84
01.02.2015;-10.23;-14.18;-6.4;3.93;5.35;1.07;92.53
02.02.2015;-10.22;-14.19;-6.34;3.92;5.35;0.96;92.7
03.02.2015;-10.29;-14.18;-6.33;3.9;5.43;0.98;92.65
04.02.2015;-10.24;-14.24;-6.28;3.92;5.7;0.83;92.35
05.02.2015;-10.13;-14.08;-6.19;4.0;5.97;1.04;92.25
06.02.2015;-10.11;-14.04;-6.15;3.99;6.11;0.82;92.2
07.02.2015;-9.9;-13.93;-5.9;3.99;6.2;1.0;92.45
08.02.2015;-9.75;-13.8;-5.8;3.98;6.33;1.01;92.15
09.02.2015;-9.67;-13.75;-5.69;3.97;6.37;0.91;92.33
10.02.2015;-9.68;-13.67;-5.62;3.94;6.48;0.94;92.3
11.02.2015;-9.56;-13.66;-5.53;3.96;6.78;0.79;92.02
