de-date,tavg,tmin,tmax,wind,globrad,precip,relhumid
2015-01-01,-8.4,-13.63,-4.55,4.55,1.57,1.0,96.81
2015-01-02,-2.18,-4.57,-0.7,5.08,1.51,1.27,97.0
2015-01-03,-0.37,-2.44,0.62,6.26,2.32,1.2,96.25
2015-01-04,-1.85,-4.76,-0.26,6.07,1.53,0.58,95.75
2015-01-05,-5.77,-12.23,-2.49,3.46,1.8,1.21,95.56
2015-01-06,-19.35,-29.3,-12.75,3.34,3.52,0.16,93.25
2015-01-07,-28.64,-31.8,-23.52,3.15,5.18,0.0,94.62
2015-01-08,-22.79,-32.18,-16.85,3.64,5.26,0.04,96.62
2015-01-09,-13.24,-16.5,-6.38,7.24,3.17,2.27,94.62
2015-01-10,-5.38,-7.31,-4.35,3.98,2.81,2.11,98.44
2015-01-11,-1.92,-7.74,0.55,5.9,2.97,2.97,95.75
2015-01-12,-2.99,-5.56,-0.54,6.1,3.0,0.23,96.06
2015-01-13,-1.92,-7.14,0.68,7.04,2.77,0.94,95.0
2015-01-14,-1.16,-5.45,0.56,5.23,3.89,0.09,95.31
2015-01-15,-5.04,-7.07,-3.23,3.07,1.55,1.1,98.75
2015-01-16,-6.82,-9.36,-3.49,2.24,5.28,0.52,99.44
2015-01-17,-6.95,-9.77,-4.04,4.45,2.63,0.19,98.88
2015-01-18,-1.68,-5.57,-0.01,4.56,2.98,0.39,95.75
2015-01-19,-3.0,-8.99,-0.43,2.2,2.47,3.8,97.88
2015-01-20,-8.27,-10.73,-3.62,3.39,2.32,0.14,97.56
2015-01-21,-8.02,-10.6,-5.34,4.66,3.73,0.61,99.12
2015-01-22,-8.45,-10.56,-5.35,3.75,3.66,0.2,97.62
2015-01-23,-8.79,-11.7,-5.42,4.74,3.2,0.17,98.0
2015-01-24,-11.57,-17.2,-8.81,5.38,4.62,0.05,94.06
2015-01-25,-14.7,-17.18,-11.9,5.93,4.35,0.54,96.75
2015-01-26,-11.46,-13.1,-9.38,3.42,4.07,2.0,96.06
2015-01-27,-9.04,-10.97,-7.67,3.52,4.57,6.74,97.0
2015-01-28,-8.25,-12.09,-4.81,1.61,4.52,0.53,98.38
2015-01-29,-7.42,-12.17,-3.52,3.02,5.06,1.23,99.19
2015-01-30,-5.44,-8.01,-2.52,5.21,4.26,0.88,98.31
2015-01-31,0.04,-2.11,0.82,8.41,4.0,4.09,96.0
2015-02-01,0.16,-0.52,0.9,5.05,3.06,20.22,96.25
2015-02-02,-2.63,-7.48,1.05,3.98,5.79,9.3,97.06
2015-02-03,-4.55,-9.06,0.12,4.28,1.93,7.32,97.38
2015-02-04,-7.52,-11.44,-4.67,2.77,2.23,1.45,96.94
2015-02-05,-10.13,-13.96,-6.85,2.06,4.87,0.75,97.38
2015-02-06,-11.48,-14.58,-8.13,3.08,6.34,1.16,97.19
2015-02-07,-10.85,-13.67,-7.79,3.95,6.92,1.08,98.31
2015-02-08,-5.49,-10.39,-3.47,5.16,5.65,3.6,97.88
2015-02-09,-10.38,-14.8,-6.88,2.8,8.0,0.17,98.75
2015-02-10,-13.04,-17.27,-5.63,2.14,9.21,0.02,97.31
2015-02-11,-15.85,-20.13,-9.35,2.15,9.92,0.1,98.94
2015-02-12,-5.77,-11.48,-2.06,2.95,6.65,0.29,96.25
2015-02-13,-4.65,-7.1,-1.25,2.38,5.92,0.2,96.12
2015-02-14,-6.11,-8.21,-2.88,1.28,5.95,0.24,96.44
2015-02-15,-6.98,-9.48,-4.18,4.12,5.64,0.37,95.88
2015-02-16,-11.86,-16.47,-7.58,7.27,8.99,0.18,92.38
2015-02-17,-14.01,-19.93,-7.75,3.59,10.83,0.0,92.94
2015-02-18,-16.81,-20.88,-10.16,2.6,11.25,0.04,96.44
2015-02-19,-6.63,-14.93,-1.46,3.61,7.87,0.55,93.75
2015-02-20,-5.04,-11.63,-1.63,3.98,9.14,0.62,95.31
2015-02-21,-1.52,-3.29,0.17,5.31,7.74,1.06,96.0
2015-02-22,-3.55,-5.74,-0.41,5.09,9.81,0.0,92.12
2015-02-23,-2.19,-4.85,0.1,4.52,9.61,0.04,96.75
2015-02-24,-3.92,-6.31,-0.29,5.0,10.96,0.02,95.88
2015-02-25,-4.45,-8.27,-0.53,5.26,11.53,0.0,93.94
2015-02-26,-3.41,-7.6,0.04,4.25,8.76,0.33,95.12
2015-02-27,-0.31,-2.76,0.55,4.79,8.47,7.16,97.5
2015-02-28,-0.56,-4.45,0.66,3.9,5.18,1.14,96.5
2015-03-01,-3.2,-5.49,-0.81,1.09,3.15,0.2,94.25
2015-03-02,-3.73,-5.88,-1.13,2.09,5.12,0.25,96.0
2015-03-03,-2.67,-5.06,-0.13,4.38,5.65,0.52,95.75
2015-03-04,-2.1,-4.74,0.05,2.5,5.81,4.19,96.88
2015-03-05,-1.84,-3.33,0.01,1.48,4.8,2.95,96.94
2015-03-06,-2.05,-4.99,0.05,1.97,3.75,1.33,96.06
2015-03-07,-3.05,-5.84,0.19,3.1,9.09,0.54,96.38
2015-03-08,-2.55,-8.17,0.92,3.55,12.07,0.38,96.44
2015-03-09,0.94,0.19,1.95,4.54,11.9,0.08,91.25
2015-03-10,-0.37,-3.1,2.06,1.59,7.02,0.0,92.94
2015-03-11,-0.65,-2.97,1.62,1.52,13.38,0.01,95.0
2015-03-12,-0.15,-2.02,0.76,3.8,7.55,0.03,96.88
2015-03-13,-0.12,-1.58,1.01,7.49,7.14,0.67,95.06
2015-03-14,-0.31,-2.38,2.13,5.67,4.86,0.18,91.62
2015-03-15,-0.88,-4.79,5.33,3.52,14.58,0.02,83.69
2015-03-16,-1.1,-6.57,6.06,4.84,15.62,0.01,80.94
2015-03-17,-0.67,-4.42,5.62,3.95,14.78,0.01,74.44
