de-date,tavg,tmin,tmax,wind,globrad,precip,relhumid
01.01.2017,-3.85,-6.03,-1.72,3.96,2.14,0.9,98.5
02.01.2017,-1.89,-3.75,-0.85,5.43,1.92,0.57,96.75
03.01.2017,-3.72,-9.02,-1.72,5.07,2.04,0.9,95.38
04.01.2017,-6.6,-9.16,-5.06,5.27,3.57,3.88,97.56
05.01.2017,-4.36,-6.16,-2.2,3.25,3.15,1.17,97.38
06.01.2017,-11.92,-18.33,-4.81,3.87,3.29,1.58,96.94
07.01.2017,-18.08,-19.54,-17.02,6.74,3.61,10.48,96.25
08.01.2017,-14.8,-17.14,-13.13,4.95,3.44,2.91,96.88
09.01.2017,-13.21,-14.77,-11.16,2.37,2.7,0.37,97.06
10.01.2017,-11.1,-12.77,-8.89,0.72,2.48,0.23,93.56
11.01.2017,-11.75,-13.65,-8.26,1.59,2.36,0.3,97.62
12.01.2017,-6.45,-11.92,-1.99,5.16,2.46,6.82,97.0
13.01.2017,-10.63,-13.66,-7.27,2.01,2.64,0.97,99.0
14.01.2017,-5.53,-8.76,-3.38,6.42,3.09,0.22,97.56
15.01.2017,-3.88,-5.01,-2.78,5.92,2.34,7.73,96.56
16.01.2017,-5.49,-8.61,-2.37,1.66,3.29,0.42,95.94
17.01.2017,-9.24,-13.3,-5.41,2.4,4.36,0.1,99.44
18.01.2017,-11.64,-16.91,-4.69,1.97,4.53,0.07,98.81
19.01.2017,-11.78,-15.27,-9.46,4.28,4.1,0.07,96.62
20.01.2017,-7.49,-10.38,-5.19,5.53,3.7,0.45,96.38
21.01.2017,-4.78,-9.58,-0.56,5.27,3.26,0.93,95.62
22.01.2017,-9.02,-13.71,-4.33,5.77,5.04,0.51,97.62
23.01.2017,-3.44,-4.91,-1.44,5.76,4.07,0.53,95.25
24.01.2017,-5.92,-7.61,-4.54,5.56,2.98,0.4,95.5
25.01.2017,-8.38,-15.71,-4.92,6.54,3.9,4.85,95.19
26.01.2017,-20.7,-26.35,-15.99,4.16,7.46,0.24,93.0
27.01.2017,-12.63,-15.56,-8.79,3.28,5.12,0.86,96.75
28.01.2017,-8.13,-14.64,-2.88,2.87,4.59,0.23,96.31
29.01.2017,-21.38,-24.49,-16.93,2.06,7.19,0.15,98.31
30.01.2017,-20.2,-23.49,-14.65,1.71,7.93,0.42,97.0
31.01.2017,-17.74,-23.03,-13.07,3.55,7.84,0.04,95.5
01.02.2017,-12.67,-16.12,-9.22,4.52,5.09,0.14,96.88
02.02.2017,-10.54,-18.1,-6.55,3.12,5.7,0.06,93.69
03.02.2017,-15.38,-20.7,-10.15,2.95,6.27,1.57,97.38
04.02.2017,-10.08,-12.15,-7.34,4.51,4.98,6.52,98.06
05.02.2017,-12.3,-14.98,-8.84,2.64,6.69,0.35,96.0
06.02.2017,-15.34,-18.71,-10.95,4.23,8.67,0.03,96.0
