"daily"
Date,Crop,TraDef,Tra,NDef,HeatRed,FrostRed,OxRed,Stage,TempSum,VernF,DaylF,IncRoot,IncLeaf,IncShoot,IncFruit,RelDev,LT50,AbBiom,OrgBiom/Root,OrgBiom/Leaf,OrgBiom/Shoot,OrgBiom/Fruit,Yield,GroPhot,NetPhot,MaintR,GrowthR,StomRes,Height,LAI,RootDep,EffRootDep,TotBiomN,AbBiomN,SumNUp,ActNup,PotNup,NFixed,Target,CritN,AbBiomNc,YieldNc,Protein,NPP,NPP/Root,NPP/Leaf,NPP/Shoot,NPP/Fruit,GPP,Ra,Ra/Root,Ra/Leaf,Ra/Shoot,Ra/Fruit,Mois_1,Mois_2,Mois_3,Mois_4,Mois_5,Mois_6,Mois_7,Mois_8,Mois_9,Mois_10,Mois_11,Mois_12,Mois_13,Mois_14,Mois_15,Mois_16,Mois_17,Mois_18,Mois_19,Mois_20,Precip,Irrig,Infilt,Surface,RunOff,SnowD,FrostD,ThawD,PASW_1,PASW_2,PASW_3,PASW_4,PASW_5,PASW_6,PASW_7,PASW_8,PASW_9,PASW_10,PASW_11,PASW_12,PASW_13,PASW_14,PASW_15,PASW_16,PASW_17,PASW_18,PASW_19,PASW_20,SurfTemp,STemp_1,STemp_2,STemp_3,STemp_4,STemp_5,Act_Ev,Act_ET,ET0,Kc,AtmCO2,Groundw,Recharge,NLeach,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NO3_16,NO3_17,NO3_18,NO3_19,NO3_20,Carb,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NH4_16,NH4_17,NH4_18,NH4_19,NH4_20,NO2_1,NO2_2,NO2_3,NO2_4,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC-X-Y,SOC-X-Y,AOMf_1,AOMs_1,SMBf_1,SMBs_1,SOMf_1,SOMs_1,CBal_1,Nmin_1,Nmin_2,Nmin_3,NetNmin,Denit,N2O,SoilpH,NEP,NEE,Rh,Tmin,Tavg,Tmax,Wind,Globrad,Relhumid,Sunhours,NFert
[],[],[0;1],[mm],[0;1],[0;1],[0;1],[0;1],[1-6/7],[�Cd],[0;1],[0;1],[kg ha-1],[kg ha-1],[kg ha-1],[kg ha-1],[0;1],[°C],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[s m-1],[m],[m2 m-2],[layer#],[m],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kg kg-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[mm],[mm],[mm],[mm],[mm],[mm],[m],[m],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[�C],[�C],[�C],[�C],[�C],[�C],[mm],[mm],[mm],[],[ppm],[m],[mm],[kgN ha-1],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[gC m-2],[gC m-2],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[],[kgC ha-1],[kgC ha-],[kgC ha-],[],[],[],[],[],[],[],[kgN ha-1]
2016-01-01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0,1.1,0,0,11.4,0.1,0,0.161,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-2.7,7.5,9.6,9.9,9.9,9.9,0,0,0.3,0.8,401,19.28,0,0,0.00511,0.005118,0.005122,0.005147,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000543,0.000553,0.000555,0.000545,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000932,0.000916,0.000914,0.000896,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17140.8,39755.6,0,0,0.0052,0.3158,26.5637,25.9479,-0.0014,0.070017,0.08809,0.090826,0.33673,0,0.00572,6.2,-6.24551,6.24551,6.24551,-12.89,-12.35,-11.24,4.75,3.36,77.69,0,0
2016-01-02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.85,0,1,0,0,20.9,0.1,0,0.171,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-12.4,3.8,8.7,9.7,9.9,9.9,0,0,0.1,0.8,401,19.29,0,0,0.005157,0.005216,0.005232,0.005277,0.005001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000568,0.000599,0.000605,0.000586,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000909,0.000852,0.000843,0.000811,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17140.3,39755,0,0,0.0052,0.3161,26.5627,25.9479,-0.0007,0.03563,0.0803,0.089222,0.29256,0,0.0044,6.2,-5.35858,5.35858,5.35858,-15.98,-14.06,-13.05,3.3,3.28,82.06,0,0
2016-01-03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0,0.3,0,0,23.9,0.2,0,0.174,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.9,3.3,8,9.5,9.8,9.9,0,0,0.1,0.8,401,19.31,0,0,0.005196,0.005299,0.005331,0.005394,0.005002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000592,0.00064,0.000652,0.000623,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000894,0.000801,0.000785,0.000742,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17140,39754.5,0,0,0.0051,0.3164,26.5618,25.9479,-0.0006,0.031145,0.07383,0.087014,0.2787,0,0.00385,6.2,-5.08348,5.08348,5.08348,-17.52,-15.6,-14.22,3.75,3.5,83.69,0,0
2016-01-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.63,0,1.9,0,0,41.8,0.2,0,0.193,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.9,2.9,7.4,9.2,9.7,9.8,0,0,0.1,0.8,401,19.32,0,0,0.005228,0.005369,0.00542,0.005499,0.005004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000614,0.000676,0.000695,0.000658,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000883,0.00076,0.000738,0.000686,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17139.6,39754.1,0,0,0.0051,0.3167,26.561,25.9479,-0.0006,0.028037,0.068355,0.084486,0.2666,0,0.00341,6.2,-4.8457,4.8457,4.8457,-15.14,-14.8,-14.48,4.75,3.42,85.19,0,0
2016-01-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0,0.3,0,0,44.5,0.2,0,0.196,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.5,2.6,6.9,8.9,9.5,9.8,0,0,0.1,0.8,401,19.34,0,0,0.005256,0.005432,0.005501,0.005594,0.005005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000636,0.000708,0.000734,0.00069,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000876,0.000726,0.000699,0.000642,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17139.3,39753.6,0,0,0.0051,0.3169,26.5602,25.9479,-0.0005,0.02561,0.063758,0.08183,0.25571,0,0.00306,6.2,-4.63352,4.63352,4.63352,-15.6,-14.24,-12.29,3.3,3.16,89.5,0,0
2016-01-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.47,0,1.7,0,0,60.2,0.2,0,0.213,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.5,2.4,6.5,8.6,9.4,9.7,0,0,0.1,0.8,401,19.36,0,0,0.005282,0.005486,0.005576,0.005681,0.005007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000657,0.000737,0.00077,0.000719,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000872,0.000699,0.000668,0.000606,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138.9,39753.1,0,0,0.0051,0.3172,26.5595,25.9479,-0.0005,0.024031,0.059834,0.079158,0.24615,0,0.00278,6.2,-4.44927,4.44927,4.44927,-13.98,-11.92,-9.89,2.18,1.71,95.69,0,0
2016-01-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.54,0,0.6,0,0,65.4,0.2,0,0.219,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.3,2.2,6.1,8.3,9.2,9.6,0,0,0.1,0.8,401,19.37,0,0,0.005305,0.005534,0.005644,0.005762,0.00501,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000678,0.000763,0.000803,0.000746,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000869,0.000676,0.000643,0.000578,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138.6,39752.7,0,0,0.005,0.3174,26.5589,25.9479,-0.0005,0.022658,0.056474,0.076543,0.23731,0,0.00255,6.2,-4.28006,4.28006,4.28006,-11.96,-9.15,-6.43,2.21,2.34,95.25,0,0
2016-01-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.4,0,19.7,1.3,0,265.5,0.2,0,0.416,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.2,2.1,5.8,8.1,9,9.5,0,0,0.1,0.8,401,19.39,0,0,0.00535,0.005552,0.005708,0.005837,0.005012,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000693,0.000788,0.000833,0.000771,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000868,0.000657,0.000622,0.000556,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138.3,39752.3,0,0,0.005,0.3175,26.5584,25.9479,-0.0003,0.015248,0.053569,0.074026,0.22291,0.00049,0.00234,6.2,-3.99947,3.99947,3.99947,-7.49,-7.02,-6.37,5.23,1.29,95.94,0,0
2016-01-09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,10.16,0,0,0,12.9,373,0.2,0,0.416,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,2,5.6,7.8,8.9,9.4,0,0,0.1,0.8,401,19.4,0,0,0.005394,0.005566,0.005768,0.005907,0.005014,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000707,0.000811,0.000861,0.000793,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000868,0.000641,0.000606,0.000539,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138,39751.9,0,0,0.005,0.3177,26.558,25.9479,-0.0003,0.014658,0.05106,0.071632,0.21582,0.00011,0.00217,6.2,-3.86607,3.86607,3.86607,-12.29,-9.01,-7.01,4.88,1.43,97.44,0,0
