DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,1570.0,-13.97,-5.31,0.2967751730812988,4.51,0.68,
20150102,1510.0,-5.18,-0.77,0.4921910434186813,5.11,0.96,
20150103,2320.0,-2.38,0.68,0.571513147748226,6.33,1.14,
20150104,1530.0,-4.93,-0.16,0.5063216449289973,5.75,0.59,
20150105,1800.0,-11.96,-2.27,0.3698124330304013,3.33,1.33,
20150106,3520.0,-28.09,-12.62,0.1310352390137252,3.57,0.2099999999999999,
20150107,5180.0,-31.75,-22.95,0.0571813220615059,3.3,0.0,
20150108,5260.0,-32.19,-17.31,0.089004784942378,3.24,0.03,
20150109,3170.0,-17.54,-5.69,0.2023083690418849,7.13,2.28,
20150110,2810.0,-6.05,-4.03,0.3947539930282606,4.07,1.91,
20150111,2970.0,-5.53,0.81,0.530933857949867,6.44,2.6100000000000003,
20150112,3000.0,-4.95,-0.54,0.4755536566814168,6.09,0.2299999999999999,
20150113,2770.0,-7.1,0.65,0.5082074221490502,6.86,0.81,
20150114,3890.0,-5.34,0.6,0.5112376024317117,5.21,0.07,
20150115,1550.0,-6.02,-1.32,0.4424279482082539,3.25,0.4599999999999999,
20150116,5280.0,-8.49,-4.49,0.3547033433363372,2.13,0.39,
20150117,2630.0,-8.95,-3.49,0.3577358945192733,4.36,0.19,
20150118,2980.0,-4.99,0.24,0.5293651362920465,4.73,0.29,
20150119,2470.0,-6.92,0.02,0.519268068946992,2.22,2.32,
20150120,2320.0,-8.4,-3.4,0.350333096393003,4.43,0.92,
20150121,3730.0,-9.73,-5.58,0.3240857383928117,5.42,1.52,
20150122,3660.0,-9.72,-5.56,0.3170567110978972,3.96,0.37,
20150123,3200.0,-10.0,-4.74,0.3230731918870907,4.75,0.14,
20150124,4620.0,-16.54,-7.52,0.2401332221275722,5.51,0.08,
20150125,4350.0,-16.45,-11.57,0.1950919084402138,6.16,0.59,
20150126,4070.000000000001,-12.81,-8.88,0.2494149505699495,3.38,1.99,
20150127,4570.0,-10.66,-6.37,0.3079762240628157,3.3,6.630000000000001,
20150128,4520.0,-11.38,-4.7,0.3233260647020076,1.26,0.4499999999999999,
20150129,5060.0,-10.74,-2.26,0.3749742196166914,3.02,1.25,
20150130,4260.0,-7.42,-0.83,0.4250303183002175,5.48,0.95,
20150131,4000.0,-0.34,0.98,0.6085809603857623,8.85,4.67,
20150201,3060.0,-0.15,0.93,0.5997759184852511,4.84,22.74,
20150202,5790.0,-6.42,1.07,0.4936618437091652,4.09,7.41,
20150203,1930.0,-7.21,-0.58,0.4384345298631041,4.14,6.66,
20150204,2230.0,-8.35,-4.16,0.3481659527349833,2.77,1.86,
20150205,4870.0,-9.7,-3.57,0.3438673403580945,2.35,3.25,
20150206,6340.0,-15.91,-7.02,0.2524436809250587,3.47,2.35,
20150207,6920.0,-14.24,-7.6,0.2594302820937549,3.81,0.8699999999999999,
20150208,5650.0,-8.17,-3.23,0.4076201041175834,5.2,3.15,
20150209,8000.0,-14.31,-6.95,0.2648885054841163,2.4,0.2099999999999999,
